x,y,z,value
0.007169999999999899,-0.019510000000000027,-1.0,5713540.0
0.013839999999999852,-0.019510000000000027,-1.0,3999240.0
0.020510000000000028,-0.019510000000000027,-1.0,3144960.0
0.027179999999999982,-0.019510000000000027,-1.0,1199869.9999999998
0.033849999999999936,-0.019510000000000027,-1.0,1062460.0
0.04051999999999989,-0.019510000000000027,-1.0,489048.0
0.047190000000000065,-0.019510000000000027,-1.0,211680.0
0.05386000000000002,-0.019510000000000027,-1.0,126735.0
0.08054000000000006,-0.019510000000000027,-1.0,25882.5
-0.07954000000000006,-0.012840000000000074,-1.0,63198.1
-0.07286999999999999,-0.012840000000000074,-1.0,61529.3
-0.06620000000000004,-0.012840000000000074,-1.0,94738.0
-0.05953000000000008,-0.012840000000000074,-1.0,348607.0
-0.05286000000000002,-0.012840000000000074,-1.0,982799.9999999999
-0.046190000000000064,-0.012840000000000074,-1.0,1870540.0
-0.03952,-0.012840000000000074,-1.0,3220280.0
-0.032850000000000046,-0.012840000000000074,-1.0,4378430.0
-0.026180000000000092,-0.012840000000000074,-1.0,5591110.0
-0.019510000000000027,-0.012840000000000074,-1.0,8197000.0
-0.012840000000000074,-0.012840000000000074,-1.0,7975100.000000001
-0.006170000000000009,-0.012840000000000074,-1.0,8929900.0
0.0004999999999999449,-0.012840000000000074,-1.0,7609000.0
0.007169999999999899,-0.012840000000000074,-1.0,7182700.0
0.013839999999999852,-0.012840000000000074,-1.0,5030620.0
0.020510000000000028,-0.012840000000000074,-1.0,2936780.0
0.027179999999999982,-0.012840000000000074,-1.0,2044070.0
0.033849999999999936,-0.012840000000000074,-1.0,910770.0
0.04051999999999989,-0.012840000000000074,-1.0,787920.0
0.047190000000000065,-0.012840000000000074,-1.0,434469.0
0.05386000000000002,-0.012840000000000074,-1.0,186326.0
0.06052999999999997,-0.012840000000000074,-1.0,55643.0
0.08054000000000006,-0.012840000000000074,-1.0,37254.7
-0.08621000000000001,-0.006170000000000009,-1.0,60421.200000000004
-0.07286999999999999,-0.006170000000000009,-1.0,61280.8
-0.06620000000000004,-0.006170000000000009,-1.0,441028.0
-0.05953000000000008,-0.006170000000000009,-1.0,597506.0
-0.05286000000000002,-0.006170000000000009,-1.0,1041040.0
-0.046190000000000064,-0.006170000000000009,-1.0,2586570.0
-0.03952,-0.006170000000000009,-1.0,3950590.0
-0.032850000000000046,-0.006170000000000009,-1.0,4600330.0
-0.026180000000000092,-0.006170000000000009,-1.0,6791960.0
-0.019510000000000027,-0.006170000000000009,-1.0,8705900.0
-0.012840000000000074,-0.006170000000000009,-1.0,9312100.0
-0.006170000000000009,-0.006170000000000009,-1.0,10749900.0
0.0004999999999999449,-0.006170000000000009,-1.0,7329000.0
0.007169999999999899,-0.006170000000000009,-1.0,5624290.0
0.013839999999999852,-0.006170000000000009,-1.0,5512990.0
0.020510000000000028,-0.006170000000000009,-1.0,3159660.0
0.027179999999999982,-0.006170000000000009,-1.0,1575350.0
0.033849999999999936,-0.006170000000000009,-1.0,1024100.0
0.04051999999999989,-0.006170000000000009,-1.0,678727.0
0.047190000000000065,-0.006170000000000009,-1.0,167923.0
-0.07286999999999999,0.0004999999999999449,-1.0,174307.0
-0.06620000000000004,0.0004999999999999449,-1.0,314468.0
-0.05953000000000008,0.0004999999999999449,-1.0,613676.0
-0.05286000000000002,0.0004999999999999449,-1.0,1168510.0
-0.046190000000000064,0.0004999999999999449,-1.0,2661190.0
-0.03952,0.0004999999999999449,-1.0,4573450.0
-0.032850000000000046,0.0004999999999999449,-1.0,4973640.000000001
-0.026180000000000092,0.0004999999999999449,-1.0,6230350.0
-0.019510000000000027,0.0004999999999999449,-1.0,8328600.0
-0.012840000000000074,0.0004999999999999449,-1.0,9417800.0
-0.006170000000000009,0.0004999999999999449,-1.0,8306200.0
0.0004999999999999449,0.0004999999999999449,-1.0,8414000.0
0.007169999999999899,0.0004999999999999449,-1.0,6353620.0
0.013839999999999852,0.0004999999999999449,-1.0,4493790.0
0.020510000000000028,0.0004999999999999449,-1.0,3277190.0
0.027179999999999982,0.0004999999999999449,-1.0,1728510.0
0.033849999999999936,0.0004999999999999449,-1.0,786660.0
0.04051999999999989,0.0004999999999999449,-1.0,628117.0
0.047190000000000065,0.0004999999999999449,-1.0,312886.0
0.05386000000000002,0.0004999999999999449,-1.0,68901.7
-0.07286999999999999,0.007169999999999899,-1.0,128457.0
-0.06620000000000004,0.007169999999999899,-1.0,57917.299999999996
-0.05953000000000008,0.007169999999999899,-1.0,300881.0
-0.05286000000000002,0.007169999999999899,-1.0,851690.0
-0.046190000000000064,0.007169999999999899,-1.0,1880339.9999999998
-0.03952,0.007169999999999899,-1.0,4127130.0
-0.032850000000000046,0.007169999999999899,-1.0,4437790.0
-0.026180000000000092,0.007169999999999899,-1.0,7171500.0
-0.019510000000000027,0.007169999999999899,-1.0,8082900.0
-0.012840000000000074,0.007169999999999899,-1.0,8486800.0
-0.006170000000000009,0.007169999999999899,-1.0,7696500.0
0.0004999999999999449,0.007169999999999899,-1.0,8502900.0
0.007169999999999899,0.007169999999999899,-1.0,6048980.0
0.013839999999999852,0.007169999999999899,-1.0,4247950.0
